Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
172285,1.931937819,-0.410159984,-0.340815266,0.293680515,-0.410113952,0.21503015,-0.712234697,0.152350234,1.060223089,-0.038518692,0.91768993,1.630636533,0.924833403,-0.184482068,-0.233659891,0.189021622,-0.756807935,0.52159473,-0.020212071,-0.130586113,0.257662103,0.974999384,0.141959759,0.752834575,-0.097074594,-0.266325971,0.04193138,-0.037772119,9.99,0
172285,1.48623788,-0.290469971,-2.006936718,1.680699117,0.424638904,-0.913372379,0.892453978,-0.410887051,-0.027078415,-0.418222233,0.025120573,0.838725227,0.978921922,-0.922805875,-0.053153504,-0.097289888,0.69411627,-0.286729069,-0.682992528,0.371441002,0.011051783,-0.374828445,-0.010954433,0.988959702,0.054689391,-0.81874151,-0.030614448,0.034722635,267.6,0
172287,-1.712311518,0.210587424,-0.097121908,-0.63379232,0.867792477,-0.954877156,0.414800745,0.3371225,-0.259812937,-0.270495228,0.137344598,0.374932804,-0.724730984,0.693613086,-0.95630859,0.373659881,-0.623301969,0.030264341,0.512898591,-0.525048825,-0.278036689,-0.461701917,0.642508541,-0.428648218,-0.365595012,0.161815327,0.14725178,0.014651201,4.49,0
172288,2.029141697,0.352013705,-1.555631365,1.375379909,0.57580871,-1.109724422,0.758894117,-0.515242124,-0.052649306,0.208578001,-0.685750729,1.217860498,1.416988685,0.199549446,-0.702968355,-0.818194969,-0.222619861,-0.866656893,-0.235131106,-0.19337771,0.069499981,0.511683237,-0.022338606,0.038354178,0.514766767,-0.495144189,-0.003746728,-0.058344937,8.99,0
172288,0.224433213,1.045507554,-2.304275828,-0.565840622,1.29333003,-0.691650648,1.055597295,0.230485909,-0.669979651,-0.945930238,0.176018081,-0.001732526,-0.818130794,-0.248224353,-1.317361531,0.400530605,0.42968224,0.771787662,0.143665864,-0.22898462,0.195560854,0.435117845,-0.041708946,0.029412618,-0.247237243,0.534797578,-0.17326428,-0.058295536,42.81,0
172288,1.919803785,-0.755393706,-0.741840774,0.293154695,-0.427479875,0.210287822,-0.706121915,0.120649784,1.44653729,0.001138308,-1.794334511,-0.447169905,-0.714439971,-0.101324038,0.560752895,0.602557873,-0.698579057,0.393457343,-0.007685848,-0.07138243,0.137790624,0.389492364,0.069062387,0.117078805,-0.227978753,0.571909563,-0.043918491,-0.03748515,74.99,0
172288,2.100535049,-0.014620301,-1.602112619,0.184331998,0.383228188,-0.76837682,0.207428037,-0.299064114,0.584681419,0.003055236,-0.965940723,0.225244008,0.274982673,0.42835623,0.793141077,-0.104874672,-0.647106508,0.056210264,-0.105210679,-0.190623591,0.222249273,0.771398077,-0.006584991,0.513135255,0.331746019,-0.126458641,-0.024655775,-0.053930038,4.49,0
172288,2.115283884,-0.082376824,-1.95791207,0.32094772,0.474194627,-0.864339346,0.376891132,-0.255544558,0.857088376,-0.017674228,-1.482768428,-0.598112153,-1.821782911,0.78787986,-0.062163212,-0.613808892,-0.124338893,-0.294935721,0.374113243,-0.34748868,-0.051420632,-0.011766959,0.054158441,0.452607434,0.365883228,-0.231719607,-0.05184392,-0.066907223,1,0
172289,-0.858660121,-0.945475877,-0.289252635,-1.251287733,3.051339148,3.46465274,-0.515325668,1.156621858,0.100135446,-0.673900117,-0.251595534,0.090272626,-0.153974901,0.104139479,0.535159585,0.328435981,-0.704849857,-0.347510106,-0.428762945,0.379190876,-0.054637072,-0.697104925,0.555976278,0.65268441,-0.573210907,-0.090047937,0.006069358,0.080816839,103,0
172289,1.131907408,-1.870981026,-2.319203461,0.486418941,0.118903663,0.45356919,0.542109661,-0.026573937,0.924999335,-0.16575095,-0.459233635,0.067313201,-1.502767023,0.738109909,-0.719895098,-0.073502665,-0.579696096,0.512408673,0.717911892,0.693455556,0.207099843,-0.360302957,-0.402851966,-0.358653296,0.062942995,-0.325841214,-0.118258656,0.010229586,491.3,0
